"","year","period","periodName","value","footnotes","seriesID"
"142",1996,"M03","March",5.5,"","LNS14000000"
"143",1996,"M02","February",5.5,"","LNS14000000"
"144",1996,"M01","January",5.6,"","LNS14000000"
"145",1995,"M12","December",5.6,"","LNS14000000"
"146",1995,"M11","November",5.6,"","LNS14000000"
"147",1995,"M10","October",5.5,"","LNS14000000"
"148",1995,"M09","September",5.6,"","LNS14000000"
"149",1995,"M08","August",5.7,"","LNS14000000"
"150",1995,"M07","July",5.7,"","LNS14000000"
"151",1995,"M06","June",5.6,"","LNS14000000"
"152",1995,"M05","May",5.6,"","LNS14000000"
"153",1995,"M04","April",5.8,"","LNS14000000"
"154",1995,"M03","March",5.4,"","LNS14000000"
"155",1995,"M02","February",5.4,"","LNS14000000"
"156",1995,"M01","January",5.6,"","LNS14000000"
"157",1994,"M12","December",5.5,"","LNS14000000"
"158",1994,"M11","November",5.6,"","LNS14000000"
"159",1994,"M10","October",5.8,"","LNS14000000"
"160",1994,"M09","September",5.9,"","LNS14000000"
"161",1994,"M08","August",6,"","LNS14000000"
"162",1994,"M07","July",6.1,"","LNS14000000"
"163",1994,"M06","June",6.1,"","LNS14000000"
"164",1994,"M05","May",6.1,"","LNS14000000"
"165",1994,"M04","April",6.4,"","LNS14000000"
"166",1994,"M03","March",6.5,"","LNS14000000"
"167",1994,"M02","February",6.6,"","LNS14000000"
"168",1994,"M01","January",6.6,"","LNS14000000"
"169",1993,"M12","December",6.5,"","LNS14000000"
"170",1993,"M11","November",6.6,"","LNS14000000"
"171",1993,"M10","October",6.8,"","LNS14000000"
"172",1993,"M09","September",6.7,"","LNS14000000"
"173",1993,"M08","August",6.8,"","LNS14000000"
"174",1993,"M07","July",6.9,"","LNS14000000"
"175",1993,"M06","June",7,"","LNS14000000"
"176",1993,"M05","May",7.1,"","LNS14000000"
"177",1993,"M04","April",7.1,"","LNS14000000"
"178",1993,"M03","March",7,"","LNS14000000"
"179",1993,"M02","February",7.1,"","LNS14000000"
"180",1993,"M01","January",7.3,"","LNS14000000"
