"","year","period","periodName","value","footnotes","seriesID"
"1",2000,"M12","December",6.9,"","LNS13327709"
"2",2000,"M11","November",7.1,"","LNS13327709"
"3",2000,"M10","October",6.8,"","LNS13327709"
"4",2000,"M09","September",7,"","LNS13327709"
"5",2000,"M08","August",7.1,"","LNS13327709"
"6",2000,"M07","July",7,"","LNS13327709"
"7",2000,"M06","June",7,"","LNS13327709"
"8",2000,"M05","May",7.1,"","LNS13327709"
"9",2000,"M04","April",6.9,"","LNS13327709"
"10",2000,"M03","March",7.1,"","LNS13327709"
"11",2000,"M02","February",7.1,"","LNS13327709"
"12",2000,"M01","January",7,"","LNS13327709"
"13",1999,"M12","December",7.1,"","LNS13327709"
"14",1999,"M11","November",7.2,"","LNS13327709"
"15",1999,"M10","October",7.2,"","LNS13327709"
"16",1999,"M09","September",7.4,"","LNS13327709"
"17",1999,"M08","August",7.3,"","LNS13327709"
"18",1999,"M07","July",7.5,"","LNS13327709"
"19",1999,"M06","June",7.5,"","LNS13327709"
"20",1999,"M05","May",7.4,"","LNS13327709"
"21",1999,"M04","April",7.7,"","LNS13327709"
"22",1999,"M03","March",7.5,"","LNS13327709"
"23",1999,"M02","February",7.7,"","LNS13327709"
"24",1999,"M01","January",7.6,"","LNS13327709"
"25",1998,"M12","December",7.6,"","LNS13327709"
"26",1998,"M11","November",7.7,"","LNS13327709"
"27",1998,"M10","October",7.9,"","LNS13327709"
"28",1998,"M09","September",8,"","LNS13327709"
"29",1998,"M08","August",7.9,"","LNS13327709"
"30",1998,"M07","July",8.2,"","LNS13327709"
"31",1998,"M06","June",8.1,"","LNS13327709"
"32",1998,"M05","May",8,"","LNS13327709"
"33",1998,"M04","April",8,"","LNS13327709"
"34",1998,"M03","March",8.4,"","LNS13327709"
"35",1998,"M02","February",8.3,"","LNS13327709"
"36",1998,"M01","January",8.4,"","LNS13327709"
"37",1997,"M12","December",8.5,"","LNS13327709"
"38",1997,"M11","November",8.4,"","LNS13327709"
"39",1997,"M10","October",8.5,"","LNS13327709"
"40",1997,"M09","September",8.7,"","LNS13327709"
"41",1997,"M08","August",8.7,"","LNS13327709"
"42",1997,"M07","July",8.7,"","LNS13327709"
"43",1997,"M06","June",8.9,"","LNS13327709"
"44",1997,"M05","May",8.9,"","LNS13327709"
"45",1997,"M04","April",9.3,"","LNS13327709"
"46",1997,"M03","March",9.1,"","LNS13327709"
"47",1997,"M02","February",9.3,"","LNS13327709"
"48",1997,"M01","January",9.4,"","LNS13327709"
"49",1996,"M12","December",9.6,"","LNS13327709"
"50",1996,"M11","November",9.4,"","LNS13327709"
"51",1996,"M10","October",9.5,"","LNS13327709"
"52",1996,"M09","September",9.5,"","LNS13327709"
"53",1996,"M08","August",9.4,"","LNS13327709"
"54",1996,"M07","July",9.7,"","LNS13327709"
"55",1996,"M06","June",9.7,"","LNS13327709"
"56",1996,"M05","May",9.8,"","LNS13327709"
"57",1996,"M04","April",10,"","LNS13327709"
"58",1996,"M03","March",9.9,"","LNS13327709"
"59",1996,"M02","February",10,"","LNS13327709"
"60",1996,"M01","January",9.8,"","LNS13327709"
"61",1995,"M12","December",10,"","LNS13327709"
"62",1995,"M11","November",10.1,"","LNS13327709"
"63",1995,"M10","October",10,"","LNS13327709"
"64",1995,"M09","September",10.2,"","LNS13327709"
"65",1995,"M08","August",10.1,"","LNS13327709"
"66",1995,"M07","July",10.1,"","LNS13327709"
"67",1995,"M06","June",10.1,"","LNS13327709"
"68",1995,"M05","May",10.1,"","LNS13327709"
"69",1995,"M04","April",10.1,"","LNS13327709"
"70",1995,"M03","March",9.9,"","LNS13327709"
"71",1995,"M02","February",9.9,"","LNS13327709"
"72",1995,"M01","January",10.1,"","LNS13327709"
"73",1994,"M12","December",10.1,"","LNS13327709"
"74",1994,"M11","November",10.1,"","LNS13327709"
"75",1994,"M10","October",10.4,"","LNS13327709"
"76",1994,"M09","September",10.4,"","LNS13327709"
"77",1994,"M08","August",10.6,"","LNS13327709"
"78",1994,"M07","July",10.8,"","LNS13327709"
"79",1994,"M06","June",11,"","LNS13327709"
"80",1994,"M05","May",10.9,"","LNS13327709"
"81",1994,"M04","April",11.3,"","LNS13327709"
"82",1994,"M03","March",11.5,"","LNS13327709"
"83",1994,"M02","February",11.4,"","LNS13327709"
"84",1994,"M01","January",11.7,"","LNS13327709"
"85",2000,"M12","December",3.9,"","LNS14000000"
"86",2000,"M11","November",3.9,"","LNS14000000"
"87",2000,"M10","October",3.9,"","LNS14000000"
"88",2000,"M09","September",3.9,"","LNS14000000"
"89",2000,"M08","August",4.1,"","LNS14000000"
"90",2000,"M07","July",4,"","LNS14000000"
"91",2000,"M06","June",4,"","LNS14000000"
"92",2000,"M05","May",4,"","LNS14000000"
"93",2000,"M04","April",3.8,"","LNS14000000"
"94",2000,"M03","March",4,"","LNS14000000"
"95",2000,"M02","February",4.1,"","LNS14000000"
"96",2000,"M01","January",4,"","LNS14000000"
"97",1999,"M12","December",4,"","LNS14000000"
"98",1999,"M11","November",4.1,"","LNS14000000"
"99",1999,"M10","October",4.1,"","LNS14000000"
"100",1999,"M09","September",4.2,"","LNS14000000"
"101",1999,"M08","August",4.2,"","LNS14000000"
"102",1999,"M07","July",4.3,"","LNS14000000"
"103",1999,"M06","June",4.3,"","LNS14000000"
"104",1999,"M05","May",4.2,"","LNS14000000"
"105",1999,"M04","April",4.3,"","LNS14000000"
"106",1999,"M03","March",4.2,"","LNS14000000"
"107",1999,"M02","February",4.4,"","LNS14000000"
"108",1999,"M01","January",4.3,"","LNS14000000"
"109",1998,"M12","December",4.4,"","LNS14000000"
"110",1998,"M11","November",4.4,"","LNS14000000"
"111",1998,"M10","October",4.5,"","LNS14000000"
"112",1998,"M09","September",4.6,"","LNS14000000"
"113",1998,"M08","August",4.5,"","LNS14000000"
"114",1998,"M07","July",4.5,"","LNS14000000"
"115",1998,"M06","June",4.5,"","LNS14000000"
"116",1998,"M05","May",4.4,"","LNS14000000"
"117",1998,"M04","April",4.3,"","LNS14000000"
"118",1998,"M03","March",4.7,"","LNS14000000"
"119",1998,"M02","February",4.6,"","LNS14000000"
"120",1998,"M01","January",4.6,"","LNS14000000"
"121",1997,"M12","December",4.7,"","LNS14000000"
"122",1997,"M11","November",4.6,"","LNS14000000"
"123",1997,"M10","October",4.7,"","LNS14000000"
"124",1997,"M09","September",4.9,"","LNS14000000"
"125",1997,"M08","August",4.8,"","LNS14000000"
"126",1997,"M07","July",4.9,"","LNS14000000"
"127",1997,"M06","June",5,"","LNS14000000"
"128",1997,"M05","May",4.9,"","LNS14000000"
"129",1997,"M04","April",5.1,"","LNS14000000"
"130",1997,"M03","March",5.2,"","LNS14000000"
"131",1997,"M02","February",5.2,"","LNS14000000"
"132",1997,"M01","January",5.3,"","LNS14000000"
"133",1996,"M12","December",5.4,"","LNS14000000"
"134",1996,"M11","November",5.4,"","LNS14000000"
"135",1996,"M10","October",5.2,"","LNS14000000"
"136",1996,"M09","September",5.2,"","LNS14000000"
"137",1996,"M08","August",5.1,"","LNS14000000"
"138",1996,"M07","July",5.5,"","LNS14000000"
"139",1996,"M06","June",5.3,"","LNS14000000"
"140",1996,"M05","May",5.6,"","LNS14000000"
"141",1996,"M04","April",5.6,"","LNS14000000"
