"","year","period","periodName","value","footnotes","seriesID"
"122",2014,"M11","November",5.8,"","LNS14000000"
"123",2014,"M10","October",5.7,"","LNS14000000"
"124",2014,"M09","September",5.9,"","LNS14000000"
"125",2014,"M08","August",6.1,"","LNS14000000"
"126",2014,"M07","July",6.2,"","LNS14000000"
"127",2014,"M06","June",6.1,"","LNS14000000"
"128",2014,"M05","May",6.3,"","LNS14000000"
"129",2014,"M04","April",6.2,"","LNS14000000"
"130",2014,"M03","March",6.7,"","LNS14000000"
"131",2014,"M02","February",6.7,"","LNS14000000"
"132",2014,"M01","January",6.6,"","LNS14000000"
"133",2013,"M12","December",6.7,"","LNS14000000"
"134",2013,"M11","November",6.9,"","LNS14000000"
"135",2013,"M10","October",7.2,"","LNS14000000"
"136",2013,"M09","September",7.2,"","LNS14000000"
"137",2013,"M08","August",7.2,"","LNS14000000"
"138",2013,"M07","July",7.3,"","LNS14000000"
"139",2013,"M06","June",7.5,"","LNS14000000"
"140",2013,"M05","May",7.5,"","LNS14000000"
"141",2013,"M04","April",7.6,"","LNS14000000"
"142",2013,"M03","March",7.5,"","LNS14000000"
"143",2013,"M02","February",7.7,"","LNS14000000"
"144",2013,"M01","January",8,"","LNS14000000"
"145",2012,"M12","December",7.9,"","LNS14000000"
"146",2012,"M11","November",7.7,"","LNS14000000"
"147",2012,"M10","October",7.8,"","LNS14000000"
"148",2012,"M09","September",7.8,"","LNS14000000"
"149",2012,"M08","August",8.1,"","LNS14000000"
"150",2012,"M07","July",8.2,"","LNS14000000"
"151",2012,"M06","June",8.2,"","LNS14000000"
"152",2012,"M05","May",8.2,"","LNS14000000"
"153",2012,"M04","April",8.2,"","LNS14000000"
"154",2012,"M03","March",8.2,"","LNS14000000"
"155",2012,"M02","February",8.3,"","LNS14000000"
"156",2012,"M01","January",8.3,"","LNS14000000"
"157",2011,"M12","December",8.5,"","LNS14000000"
"158",2011,"M11","November",8.6,"","LNS14000000"
"159",2011,"M10","October",8.8,"","LNS14000000"
"160",2011,"M09","September",9,"","LNS14000000"
"161",2011,"M08","August",9,"","LNS14000000"
"162",2011,"M07","July",9,"","LNS14000000"
"163",2011,"M06","June",9.1,"","LNS14000000"
"164",2011,"M05","May",9,"","LNS14000000"
"165",2011,"M04","April",9.1,"","LNS14000000"
"166",2011,"M03","March",9,"","LNS14000000"
"167",2011,"M02","February",9,"","LNS14000000"
"168",2011,"M01","January",9.1,"","LNS14000000"
"169",2010,"M12","December",9.3,"","LNS14000000"
"170",2010,"M11","November",9.8,"","LNS14000000"
"171",2010,"M10","October",9.4,"","LNS14000000"
"172",2010,"M09","September",9.5,"","LNS14000000"
"173",2010,"M08","August",9.5,"","LNS14000000"
"174",2010,"M07","July",9.4,"","LNS14000000"
"175",2010,"M06","June",9.4,"","LNS14000000"
"176",2010,"M05","May",9.6,"","LNS14000000"
"177",2010,"M04","April",9.9,"","LNS14000000"
"178",2010,"M03","March",9.9,"","LNS14000000"
"179",2010,"M02","February",9.8,"","LNS14000000"
"180",2010,"M01","January",9.8,"","LNS14000000"
"181",2009,"M12","December",9.9,"","LNS14000000"
"182",2009,"M11","November",9.9,"","LNS14000000"
"183",2009,"M10","October",10,"","LNS14000000"
"184",2009,"M09","September",9.8,"","LNS14000000"
"185",2009,"M08","August",9.6,"","LNS14000000"
"186",2009,"M07","July",9.5,"","LNS14000000"
"187",2009,"M06","June",9.5,"","LNS14000000"
"188",2009,"M05","May",9.4,"","LNS14000000"
"189",2009,"M04","April",9,"","LNS14000000"
"190",2009,"M03","March",8.7,"","LNS14000000"
"191",2009,"M02","February",8.3,"","LNS14000000"
"192",2009,"M01","January",7.8,"","LNS14000000"
