"","year","period","periodName","value","footnotes","seriesID"
"1",2016,"M12","December",9.2,"","LNS13327709"
"2",2016,"M11","November",9.4,"","LNS13327709"
"3",2016,"M10","October",9.6,"","LNS13327709"
"4",2016,"M09","September",9.7,"","LNS13327709"
"5",2016,"M08","August",9.6,"","LNS13327709"
"6",2016,"M07","July",9.6,"","LNS13327709"
"7",2016,"M06","June",9.5,"","LNS13327709"
"8",2016,"M05","May",9.9,"","LNS13327709"
"9",2016,"M04","April",9.9,"","LNS13327709"
"10",2016,"M03","March",9.8,"","LNS13327709"
"11",2016,"M02","February",9.6,"","LNS13327709"
"12",2016,"M01","January",9.7,"","LNS13327709"
"13",2015,"M12","December",9.9,"","LNS13327709"
"14",2015,"M11","November",10,"","LNS13327709"
"15",2015,"M10","October",9.8,"","LNS13327709"
"16",2015,"M09","September",10,"","LNS13327709"
"17",2015,"M08","August",10.2,"","LNS13327709"
"18",2015,"M07","July",10.3,"","LNS13327709"
"19",2015,"M06","June",10.4,"","LNS13327709"
"20",2015,"M05","May",10.9,"","LNS13327709"
"21",2015,"M04","April",10.9,"","LNS13327709"
"22",2015,"M03","March",10.9,"","LNS13327709"
"23",2015,"M02","February",10.9,"","LNS13327709"
"24",2015,"M01","January",11.2,"","LNS13327709"
"25",2014,"M12","December",11.2,"","LNS13327709"
"26",2014,"M11","November",11.4,"","LNS13327709"
"27",2014,"M10","October",11.5,"","LNS13327709"
"28",2014,"M09","September",11.7,"","LNS13327709"
"29",2014,"M08","August",12,"","LNS13327709"
"30",2014,"M07","July",12.1,"","LNS13327709"
"31",2014,"M06","June",12,"","LNS13327709"
"32",2014,"M05","May",12.3,"","LNS13327709"
"33",2014,"M04","April",12.3,"","LNS13327709"
"34",2014,"M03","March",12.7,"","LNS13327709"
"35",2014,"M02","February",12.6,"","LNS13327709"
"36",2014,"M01","January",12.6,"","LNS13327709"
"37",2013,"M12","December",13.1,"","LNS13327709"
"38",2013,"M11","November",13.1,"","LNS13327709"
"39",2013,"M10","October",13.6,"","LNS13327709"
"40",2013,"M09","September",13.5,"","LNS13327709"
"41",2013,"M08","August",13.6,"","LNS13327709"
"42",2013,"M07","July",13.8,"","LNS13327709"
"43",2013,"M06","June",14.2,"","LNS13327709"
"44",2013,"M05","May",13.9,"","LNS13327709"
"45",2013,"M04","April",14,"","LNS13327709"
"46",2013,"M03","March",13.9,"","LNS13327709"
"47",2013,"M02","February",14.3,"","LNS13327709"
"48",2013,"M01","January",14.5,"","LNS13327709"
"49",2012,"M12","December",14.4,"","LNS13327709"
"50",2012,"M11","November",14.4,"","LNS13327709"
"51",2012,"M10","October",14.4,"","LNS13327709"
"52",2012,"M09","September",14.8,"","LNS13327709"
"53",2012,"M08","August",14.6,"","LNS13327709"
"54",2012,"M07","July",14.7,"","LNS13327709"
"55",2012,"M06","June",14.7,"","LNS13327709"
"56",2012,"M05","May",14.8,"","LNS13327709"
"57",2012,"M04","April",14.7,"","LNS13327709"
"58",2012,"M03","March",14.6,"","LNS13327709"
"59",2012,"M02","February",15,"","LNS13327709"
"60",2012,"M01","January",15.1,"","LNS13327709"
"61",2011,"M12","December",15.2,"","LNS13327709"
"62",2011,"M11","November",15.6,"","LNS13327709"
"63",2011,"M10","October",15.8,"","LNS13327709"
"64",2011,"M09","September",16.4,"","LNS13327709"
"65",2011,"M08","August",16.1,"","LNS13327709"
"66",2011,"M07","July",15.9,"","LNS13327709"
"67",2011,"M06","June",16.1,"","LNS13327709"
"68",2011,"M05","May",15.9,"","LNS13327709"
"69",2011,"M04","April",16.1,"","LNS13327709"
"70",2011,"M03","March",16,"","LNS13327709"
"71",2011,"M02","February",16,"","LNS13327709"
"72",2011,"M01","January",16.1,"","LNS13327709"
"73",2010,"M12","December",16.6,"","LNS13327709"
"74",2010,"M11","November",16.9,"","LNS13327709"
"75",2010,"M10","October",16.6,"","LNS13327709"
"76",2010,"M09","September",16.9,"","LNS13327709"
"77",2010,"M08","August",16.5,"","LNS13327709"
"78",2010,"M07","July",16.4,"","LNS13327709"
"79",2010,"M06","June",16.4,"","LNS13327709"
"80",2010,"M05","May",16.7,"","LNS13327709"
"81",2010,"M04","April",17.2,"","LNS13327709"
"82",2010,"M03","March",17.1,"","LNS13327709"
"83",2010,"M02","February",17,"","LNS13327709"
"84",2010,"M01","January",16.6,"","LNS13327709"
"85",2009,"M12","December",17.2,"","LNS13327709"
"86",2009,"M11","November",17.1,"","LNS13327709"
"87",2009,"M10","October",17.1,"","LNS13327709"
"88",2009,"M09","September",16.7,"","LNS13327709"
"89",2009,"M08","August",16.7,"","LNS13327709"
"90",2009,"M07","July",16.4,"","LNS13327709"
"91",2009,"M06","June",16.5,"","LNS13327709"
"92",2009,"M05","May",16.5,"","LNS13327709"
"93",2009,"M04","April",15.9,"","LNS13327709"
"94",2009,"M03","March",15.8,"","LNS13327709"
"95",2009,"M02","February",15.1,"","LNS13327709"
"96",2009,"M01","January",14.1,"","LNS13327709"
"97",2016,"M12","December",4.7,"","LNS14000000"
"98",2016,"M11","November",4.7,"","LNS14000000"
"99",2016,"M10","October",4.9,"","LNS14000000"
"100",2016,"M09","September",5,"","LNS14000000"
"101",2016,"M08","August",4.9,"","LNS14000000"
"102",2016,"M07","July",4.8,"","LNS14000000"
"103",2016,"M06","June",4.9,"","LNS14000000"
"104",2016,"M05","May",4.8,"","LNS14000000"
"105",2016,"M04","April",5.1,"","LNS14000000"
"106",2016,"M03","March",5,"","LNS14000000"
"107",2016,"M02","February",4.9,"","LNS14000000"
"108",2016,"M01","January",4.8,"","LNS14000000"
"109",2015,"M12","December",5,"","LNS14000000"
"110",2015,"M11","November",5.1,"","LNS14000000"
"111",2015,"M10","October",5,"","LNS14000000"
"112",2015,"M09","September",5,"","LNS14000000"
"113",2015,"M08","August",5.1,"","LNS14000000"
"114",2015,"M07","July",5.2,"","LNS14000000"
"115",2015,"M06","June",5.3,"","LNS14000000"
"116",2015,"M05","May",5.6,"","LNS14000000"
"117",2015,"M04","April",5.4,"","LNS14000000"
"118",2015,"M03","March",5.4,"","LNS14000000"
"119",2015,"M02","February",5.5,"","LNS14000000"
"120",2015,"M01","January",5.7,"","LNS14000000"
"121",2014,"M12","December",5.6,"","LNS14000000"
